2025-03-21T00:03:23.863-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-1] org.hibernate.SQL                        : select v1_0.id,v1_0.brand,v1_0.category_id,v1_0.daily_cost,v1_0.description,v1_0.fuel_type,v1_0.gear_shift,v1_0.manufacturing_year,v1_0.model,v1_0.name,v1_0.number_of_doors,v1_0.number_of_seats,v1_0.avg_rating,v1_0.registration_plate from vehicles v1_0
2025-03-21T00:03:23.863-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-5] org.hibernate.SQL                        : select v1_0.id,v1_0.brand,v1_0.category_id,v1_0.daily_cost,v1_0.description,v1_0.fuel_type,v1_0.gear_shift,v1_0.manufacturing_year,v1_0.model,v1_0.name,v1_0.number_of_doors,v1_0.number_of_seats,v1_0.avg_rating,v1_0.registration_plate from vehicles v1_0
2025-03-21T00:03:23.888-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-1] org.hibernate.SQL                        : select c1_0.id,c1_0.category_description,ci1_0.id,ci1_0.filename,c1_0.name from categories c1_0 left join categories_images ci1_0 on c1_0.id=ci1_0.category_id where c1_0.id=?
2025-03-21T00:03:23.888-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-5] org.hibernate.SQL                        : select c1_0.id,c1_0.category_description,ci1_0.id,ci1_0.filename,c1_0.name from categories c1_0 left join categories_images ci1_0 on c1_0.id=ci1_0.category_id where c1_0.id=?
2025-03-21T00:03:23.895-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-5] org.hibernate.SQL                        : select c1_0.vehicle_id,c1_1.id,ci1_0.id,ci1_0.filename,c1_1.name from vehicles_characteristics c1_0 join characteristics c1_1 on c1_1.id=c1_0.characteristic_id left join characteristic_images ci1_0 on c1_1.id=ci1_0.characteristic_id where c1_0.vehicle_id=?
2025-03-21T00:03:23.895-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-1] org.hibernate.SQL                        : select c1_0.vehicle_id,c1_1.id,ci1_0.id,ci1_0.filename,c1_1.name from vehicles_characteristics c1_0 join characteristics c1_1 on c1_1.id=c1_0.characteristic_id left join characteristic_images ci1_0 on c1_1.id=ci1_0.characteristic_id where c1_0.vehicle_id=?
2025-03-21T00:03:23.904-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-1] org.hibernate.SQL                        : select i1_0.vehicle_id,i1_0.id,i1_0.filename from vehicle_images i1_0 where i1_0.vehicle_id=?
2025-03-21T00:03:23.904-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-5] org.hibernate.SQL                        : select i1_0.vehicle_id,i1_0.id,i1_0.filename from vehicle_images i1_0 where i1_0.vehicle_id=?
2025-03-21T00:03:23.913-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-6] org.hibernate.SQL                        : select v1_0.id,v1_0.brand,v1_0.category_id,v1_0.daily_cost,v1_0.description,v1_0.fuel_type,v1_0.gear_shift,v1_0.manufacturing_year,v1_0.model,v1_0.name,v1_0.number_of_doors,v1_0.number_of_seats,v1_0.avg_rating,v1_0.registration_plate from vehicles v1_0
2025-03-21T00:03:23.913-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-8] org.hibernate.SQL                        : select v1_0.id,v1_0.brand,v1_0.category_id,v1_0.daily_cost,v1_0.description,v1_0.fuel_type,v1_0.gear_shift,v1_0.manufacturing_year,v1_0.model,v1_0.name,v1_0.number_of_doors,v1_0.number_of_seats,v1_0.avg_rating,v1_0.registration_plate from vehicles v1_0
2025-03-21T00:03:23.914-03:00 DEBUG 22584 --- [turnos] [http-nio-8080-exec-8] org.hibernate.SQL                        : select c1_0.id,c1_0.category_description,ci1_0.id,ci1_0.filename,c1_0.name from categories c1_0 left join categories_images ci1_0 on c1_0.id=ci1_0.category_id where c1_0.id=?
